Catálogo de cód                          
Fecha inicio deFecha fin de    Versión     Revisión  
   3/27/2017                     2.0     
                                         
c_CodigoPostal   c_Estado    c_Municipio c_Localidad 
     52742          MEX                  
     52743          MEX          062     
     52744          MEX                  
     52745          MEX                  
     52746          MEX                  
     52747          MEX                  
     52748          MEX                  
     52749          MEX                  
     52750          MEX          062     
     52751          MEX                  
     52752          MEX                  
     52753          MEX          062     
     52754          MEX          062     
     52755          MEX          062     
     52756          MEX          062     
     52757          MEX          062     
     52758          MEX                  
     52759          MEX                  
     52760          MEX          037          06     
     52761          MEX                  
     52762          MEX                  
     52763          MEX          037          06     
     52764          MEX          037          06     
     52765          MEX          037          06     
     52766          MEX          037          06     
     52767          MEX          037          06     
     52768          MEX          037          06     
     52769          MEX          037          06     
     52770          MEX          037          06     
     52771          MEX                  
     52772          MEX                  
     52773          MEX          037          06     
     52774          MEX          037          06     
     52775          MEX          037          06     
     52776          MEX          037          06     
     52777          MEX          037          06     
     52778          MEX          037          06     
     52779          MEX          037          06     
     52780          MEX          037          06     
     52781          MEX                  
     52782          MEX                  
     52783          MEX          037          06     
     52784          MEX          037          06     
     52785          MEX          037          06     
     52786          MEX          037          06     
     52787          MEX          037          06     
     52788          MEX          037          06     
     52789          MEX          037          06     
     52790          MEX          037          06     
     52791          MEX                  
     52792          MEX                  
     52793          MEX          037          06     
     52794          MEX          037          06     
     52795          MEX          037          06     
     52796          MEX          037          06     
     52797          MEX          037          06     
     52798          MEX          037          06     
     52799          MEX          037          06     
     52900          MEX          013          01     
     52901          MEX                  
     52902          MEX                  
     52903          MEX                  
     52904          MEX                  
     52905          MEX                  
     52906          MEX                  
     52907          MEX                  
     52908          MEX                  
     52909          MEX          013          01     
     52910          MEX          013          01     
     52911          MEX                  
     52912          MEX                  
     52913          MEX                  
     52914          MEX                  
     52915          MEX          013          01     
     52916          MEX          013          01     
     52917          MEX                  
     52918          MEX          013          01     
     52919          MEX          013          01     
     52920          MEX          013          01     
     52921          MEX                  
     52922          MEX                  
     52923          MEX          013          01     
     52924          MEX          013          01     
     52925          MEX          013          01     
     52926          MEX          013          01     
     52927          MEX          013          01     
     52928          MEX          013          01     
     52929          MEX          013          01     
     52930          MEX          013          01     
     52931          MEX                  
     52932          MEX                  
     52933          MEX                  
     52934          MEX          013          01     
     52935          MEX                  
     52936          MEX          013          01     
     52937          MEX          013          01     
     52938          MEX          013          01     
     52939          MEX          013          01     
     52940          MEX          013          01     
     52941          MEX                  
     52942          MEX                  
     52943          MEX                  
     52944          MEX                  
     52945          MEX          013          01     
     52946          MEX          013          01     
     52947          MEX          013          01     
     52948          MEX          013          01     
     52949          MEX          013          01     
     52950          MEX          013          01     
     52951          MEX                  
     52952          MEX                  
     52953          MEX          013          01     
     52954          MEX                  
     52955          MEX                  
     52956          MEX          013          01     
     52957          MEX          013          01     
     52958          MEX          013          01     
     52959          MEX          013          01     
     52960          MEX          013          01     
     52961          MEX                  
     52962          MEX                  
     52963          MEX                  
     52964          MEX                  
     52965          MEX          013          01     
     52966          MEX          013          01     
     52967          MEX          013          01     
     52968          MEX          013          01     
     52969          MEX                  
     52970          MEX          013          01     
     52971          MEX                  
     52972          MEX                  
     52973          MEX                  
     52974          MEX                  
     52975          MEX          013          01     
     52976          MEX          013          01     
     52977          MEX          013          01     
     52978          MEX          013          01     
     52979          MEX          013          01     
     52980          MEX          013          01     
     52981          MEX                  
     52982          MEX                  
     52983          MEX                  
     52984          MEX                  
     52985          MEX          013          01     
     52986          MEX          013          01     
     52987          MEX          013          01     
     52988          MEX          013          01     
     52989          MEX          013          01     
     52990          MEX          013          01     
     52991          MEX                  
     52992          MEX                  
     52993          MEX                  
     52994          MEX          013          01     
     52995          MEX          013          01     
     52996          MEX          013          01     
     52997          MEX          013          01     
     52998          MEX          013          01     
     52999          MEX                  
     53000          MEX          057          09     
     53001          MEX                  
     53002          MEX                  
     53003          MEX                  
     53004          MEX                  
     53005          MEX                  
     53006          MEX                  
     53007          MEX                  
     53008          MEX                  
     53009          MEX                  
     53010          MEX          057          09     
     53011          MEX                  
     53012          MEX                  
     53013          MEX                  
     53014          MEX                  
     53015          MEX                  
     53016          MEX                  
     53017          MEX                  
     53018          MEX                  
     53019          MEX                  
     53020          MEX                  
     53021          MEX                  
     53022          MEX                  
     53023          MEX                  
     53024          MEX                  
     53025          MEX                  
     53026          MEX                  
     53027          MEX                  
     53028          MEX                  
     53029          MEX                  
